Id,Name,Isin,AmfiCode,Rta,RtaCode,AmcCode,LastUpdatedBy,LastUpdatedOnUtc
11916,Jm Floater Short Term Fund Half Yearly Bonus Option Bonus Units,INF192K01IW2,,KARVY,105FFS2,555,Ranjith.Vijayabaskar,1/1/2007 10:00
11917,Jm Floater Short Term Fund (Direct) Half Yearly Bonus Option Principal Units,INF192K01IX0,133391,KARVY,105FFS3,556,Ranjith.Vijayabaskar,1/1/2007 10:00
11918,Jm Floater Short Term Fund (Direct) Half Yearly Bonus Option Bonus Units,INF192K01IY8,,KARVY,105FFS4,557,Ranjith.Vijayabaskar,1/1/2007 10:00
11919,Jm Floater Short Term Fund Monthly Dividend Payout Option,INF192K01IR2,133392,KARVY,105FFS5,558,Ranjith.Vijayabaskar,1/1/2007 10:00
11921,Jm Floater Short Term Fund (Direct) Monthly Dividend Payout Option,INF192K01IT8,133413,KARVY,105FFS6,559,Ranjith.Vijayabaskar,1/1/2007 10:00
11922,Jm Dynamic Debt Fund Half Yearly Bonus Option Principal Units,INF192K01IN1,133389,KARVY,105FFL1,560,Ranjith.Vijayabaskar,1/1/2007 10:00
11924,Jm Dynamic Debt Fund Half Yearly Bonus Option Bonus Units,INF192K01IO9,,KARVY,105FFL2,561,Ranjith.Vijayabaskar,1/1/2007 10:00
11925,Jm Dynamic Debt Fund (Direct) Half Yearly Bonus Option Principal Units,INF192K01IP6,133388,KARVY,105FFL3,562,Ranjith.Vijayabaskar,1/1/2007 10:00
11926,Jm Dynamic Debt Fund (Direct) Half Yearly Bonus Option Bonus Units,INF192K01IQ4,,KARVY,105FFL4,563,Ranjith.Vijayabaskar,1/1/2007 10:00
11927,Jm Dynamic Debt Fund Monthly Idcw Payout Option,INF192K01IJ9,133390,KARVY,105FFL5,564,Ranjith.Vijayabaskar,1/1/2007 10:00
11929,Jm Dynamic Debt Fund (Direct) Monthly Idcw Payout Option,INF192K01IL5,133414,KARVY,105FFL6,565,Ranjith.Vijayabaskar,1/1/2007 10:00
11930,Jm Equity Hybrid Fund Half Yearly Bonus Option Principal Units,INF192K01HT0,133403,KARVY,105BFH1,566,Ranjith.Vijayabaskar,1/1/2007 10:00
11932,Jm Equity Hybrid Fund Half Yearly Bonus Option Bonus Units,INF192K01HU8,,KARVY,105BFH2,567,Ranjith.Vijayabaskar,1/1/2007 10:00
11933,Jm Equity Hybrid Fund (Direct) Half Yearly Bonus Option Principal Units,INF192K01HV6,133409,KARVY,105BFH3,568,Ranjith.Vijayabaskar,1/1/2007 10:00
11934,Jm Equity Hybrid Fund (Direct) Half Yearly Bonus Option Bonus Units,INF192K01HW4,,KARVY,105BFH4,569,Ranjith.Vijayabaskar,1/1/2007 10:00
11935,Jm Equity Hybrid Fund Quarterly Bonus Option Principal Units,INF192K01HX2,133410,KARVY,105BFQ1,570,Ranjith.Vijayabaskar,1/1/2007 10:00
11937,Jm Equity Hybrid Fund Quarterly Bonus Option Bonus Units,INF192K01HY0,,KARVY,105BFQ2,571,Ranjith.Vijayabaskar,1/1/2007 10:00
11938,Jm Equity Hybrid Fund (Direct) Quarterly Bonus Option Principal Units,INF192K01HZ7,133411,KARVY,105BFQ3,572,Ranjith.Vijayabaskar,1/1/2007 10:00
11939,Jm Equity Hybrid Fund (Direct) Quarterly Bonus Option Bonus Units,INF192K01IA8,,KARVY,105BFQ4,573,Ranjith.Vijayabaskar,1/1/2007 10:00
11940,Jm Equity Hybrid Fund Monthly Idcw Payout Option,INF192K01HL7,133404,KARVY,105BFMD,574,Ranjith.Vijayabaskar,1/1/2007 10:00
11942,Jm Equity Hybrid Fund (Direct) Monthly Idcw Payout Option,INF192K01HN3,133412,KARVY,105BFDM,575,Ranjith.Vijayabaskar,1/1/2007 10:00
11943,Jm Equity Hybrid Fund Quarterly Idcw Payout Option,INF192K01HP8,133405,KARVY,105BFQD,576,Ranjith.Vijayabaskar,1/1/2007 10:00
11945,Jm Equity Hybrid Fund (Direct) Quarterly Idcw Payout Option,INF192K01HR4,133406,KARVY,105BFDQ,577,Ranjith.Vijayabaskar,1/1/2007 10:00
11946,Jm Arbitrage Fund Half Yearly Bonus Option Principal Units,INF192K01IB6,133399,KARVY,105AAH1,578,Ranjith.Vijayabaskar,1/1/2007 10:00
11948,Jm Arbitrage Fund Half Yearly Bonus Option Bonus Units,INF192K01IC4,,KARVY,105AAH2,579,Ranjith.Vijayabaskar,1/1/2007 10:00
11949,Jm Arbitrage Fund (Direct) Half Yearly Bonus Option Principal Units,INF192K01ID2,133397,KARVY,105AAH3,580,Ranjith.Vijayabaskar,1/1/2007 10:00
11950,Jm Arbitrage Fund (Direct) Half Yearly Bonus Option Bonus Units,INF192K01IE0,,KARVY,105AAH4,581,Ranjith.Vijayabaskar,1/1/2007 10:00
11951,Jm Arbitrage Fund Quarterly Bonus Option Principal Units,INF192K01IF7,133396,KARVY,105AAQ1,582,Ranjith.Vijayabaskar,1/1/2007 10:00
11953,Jm Arbitrage Fund Quarterly Bonus Option Bonus Units,INF192K01IG5,,KARVY,105AAQ2,583,Ranjith.Vijayabaskar,1/1/2007 10:00
11954,Jm Arbitrage Fund (Direct) Quarterly Bonus Option Principal Units,INF192K01IH3,133398,KARVY,105AAQ3,584,Ranjith.Vijayabaskar,1/1/2007 10:00
11955,Jm Arbitrage Fund (Direct) Quarterly Bonus Option Bonus Units,INF192K01II1,,KARVY,105AAQ4,585,Ranjith.Vijayabaskar,1/1/2007 10:00
11958,Sundaram Long Term Tax Advantage Fund Series I Regular Plan Growth,INF903J012A3,133322,KARVY,1769TGP,9TGP,Ranjith.Vijayabaskar,1/1/2007 10:00
11959,Sundaram Long Term Tax Advantage Fund Series I Regular Plan Idcw Payout,INF903J013A1,133323,KARVY,1769TDP,9TDP,Ranjith.Vijayabaskar,1/1/2007 10:00
11960,Sundaram Top 100 Series Iv (Rgess) Regular Plan Growth Option,INF903J016A4,133353,KARVY,ST4RG,T4RG,Ranjith.Vijayabaskar,1/1/2007 10:00
11961,Sundaram Top 100 Series Iv (Rgess) Regular Plan Idcw Payout Option,INF903J017A2,133354,KARVY,ST4RD,T4RD,Ranjith.Vijayabaskar,1/1/2007 10:00
11962,Icici Prudential Growth Fund Series 6 Dividend Payout,INF109KA14O3,133274,CAMS,P2586,GROWTH6,Ranjith.Vijayabaskar,1/1/2007 10:00
11963,Dsp Fmp - Series 186 - 36M - Reg - G,INF740K012M2,,CAMS,D1636,1636,Ranjith.Vijayabaskar,1/1/2007 10:00
11964,Dsp Fmp - Series 186 - 36M - Reg - Div - Regular Payout,INF740K013M0,,CAMS,D1637,1637,Ranjith.Vijayabaskar,1/1/2007 10:00
11965,Dsp Fmp - Series 186 - 36M - Reg - Div - Quarterly Payout,INF740K014M8,,CAMS,D1638,1638,Ranjith.Vijayabaskar,1/1/2007 10:00
11966,Sbi Long Term Advantage Fund - Series I - Regular Plan - Idcw Payout,INF200K017X1,132923,CAMS,L453D,453D,Ranjith.Vijayabaskar,1/1/2007 10:00
11967,Sbi Long Term Advantage Fund - Series I -Regular Plan - Growth,INF200K016X3,132924,CAMS,L453G,453G,Ranjith.Vijayabaskar,1/1/2007 10:00
11970,Icici Prudential Capital Protection Oriented Fund Seriesvii 1822 Days Plan D- Cumulative,INF109KA10P8,133293,CAMS,P2587,CAPITA7D,Ranjith.Vijayabaskar,1/1/2007 10:00
11971,Icici Prudential Capital Protection Oriented Fund Seriesvii 1822 Days Plan D- Dividend Payout,INF109KA11P6,133296,CAMS,P2588,CAPITA7D,Ranjith.Vijayabaskar,1/1/2007 10:00
11972,Sbi Long Term Advantage Fund Series Ii Regular Plan Idcw Payout,INF200KA1325,133362,CAMS,L461D,461D,Ranjith.Vijayabaskar,1/1/2007 10:00
